time,S,R,F,T
0,22500,7500,10000,30000
0.2,27503.2081193519,8467.15275877062,11524.1084043367,35970.3608781226
0.4,33451.6223687308,9546.52371564259,13240.5433743538,42998.1460843734
0.6,40529.6066290417,10752.702045764,15171.1088367414,51282.3086748056
0.8,48928.2240775612,12097.8849892848,17330.2851069466,61026.1090668461
1,58843.7915359296,13594.4349425651,19732.147863715,72438.2264784947
1.2,70498.6464029247,15254.0747702968,22384.8185904236,85752.7211732214
1.4,84122.7678307447,17087.6042159168,25292.0067732888,101210.372046661
1.6,99953.2327883265,19105.1764615632,28454.2008777758,119058.40924989
1.8,118233.931147163,21313.4115479229,31859.0216121706,139547.342695086
2,139188.369182613,23717.434135278,35492.9324425109,162905.803317891
2.2,163028.577439268,26318.3649751247,39331.5626341241,189346.942414393
2.4,189846.446318651,29103.7011525069,43331.2020558844,218950.147471157
2.6,219853.75622774,32075.881209709,47472.0154307881,251929.637437449
2.8,252955.502839405,35207.372539599,51696.7025958828,288162.875379004
3,289189.315815631,38483.0885467734,55962.6590476219,327672.404362405
3.2,328366.40589224,41872.5511928753,60220.9419482102,370238.957085116
3.4,370131.114868468,45332.4301431617,64413.1054321471,415463.54501163
3.6,414278.476581891,48833.298234486,68495.4357271562,463111.774816377
3.8,460027.459537632,52312.3273515286,72423.0688783338,512339.78688916
4,507120.078874544,55735.8867163128,76148.7009403609,562855.965590857
4.2,554578.022215341,59044.5169973992,79661.4285192016,613622.53921274
4.4,601950.904231805,62194.7581230443,82916.9377685678,664145.66235485
4.6,648473.147675618,65150.8924512042,85931.2741327611,713624.040126823
4.8,693482.133736409,67869.8432677106,88689.4803435726,761351.977004119
5,736455.875640475,70323.9260369451,91184.074551389,806779.80167742
5.2,777020.583614697,72510.0553411549,93431.8594194941,849530.638955852
5.4,814555.609566014,74390.3101345084,95421.9142093765,888945.919700522
5.6,849417.391126769,76012.0945732181,97203.7500688619,925429.485699987
5.8,881088.196002137,77350.7255209583,98776.7987181715,958438.921523096
6,909704.031621982,78428.6690618901,100162.046090119,988132.700683872
6.2,935451.458552407,79271.7217035301,101381.402800175,1014723.18025594
6.4,958250.679854657,79886.6338571484,102449.78243506,1038137.31371181
6.6,978634.242684613,80312.4125247215,103381.835147298,1058946.65520933
6.8,996599.143410729,80561.8959190593,104195.337884171,1077161.03932979
7,1012412.3440046,80654.3814814647,104899.109561342,1093066.72548606
7.2,1026263.45015652,80610.122101697,105507.613031862,1106873.57225822
7.4,1038328.73007112,80449.5244654645,106036.277457499,1118778.25453658
7.6,1048817.67848307,80182.030842727,106491.54879025,1128999.7093258
7.8,1057920.70679498,79828.8675821196,106888.442256547,1137749.5743771
8,1065822.38628684,79405.3694264521,107236.397025274,1145227.75571329
8.2,1072641.76052021,78913.8011789331,107528.067233317,1151555.56169914
