time,S,R,F,T
0,29970,30,10000,30000
0.2,36093.9394626759,16.4788683584098,11517.4841330092,36110.4183310343
0.4,43211.7509462933,-1.35801581683851,13230.8870271144,43210.3929304764
0.6,51449.482116248,-24.3785068676689,15159.3339005624,51425.1036093803
0.8,60922.7138035312,-53.5089876660593,17318.1128116997,60869.2048158651
1,71741.8755836032,-89.7566819437276,19719.8128149012,71652.1189016594
1.2,84006.9886931124,-134.201186894508,22373.1300798172,83872.7875062179
1.4,97804.6282781614,-187.98119750859,25282.3773179519,97616.6470806528
1.6,113199.953533168,-252.276608771705,28445.8207674356,112947.676924397
1.8,130226.385400157,-328.255286266108,31854.4650314394,129898.130113891
2,148891.510273543,-417.099773859209,35492.890805681,148474.410499684
2.2,169145.025787372,-519.845038318925,39335.6774516013,168625.180749054
2.4,190906.512001644,-637.500299660681,43351.2700105089,190269.011701983
2.6,214028.332890359,-770.825440037533,47499.3383438636,213257.507450322
2.8,238320.235186609,-920.424448859148,51734.6207416008,237399.81073775
3,263535.083122468,-1086.65205575339,56006.1702274803,262448.431066715
3.2,289395.174507505,-1269.48687005919,60267.9854869006,288125.687637446
3.4,315558.928004824,-1468.85716173731,64460.0522654253,314090.070843087
3.6,341687.223052251,-1684.31752933107,68536.0665881848,340002.905522919
3.8,367424.428929118,-1915.13312122546,72455.7540314675,365509.295807893
4,392357.956698545,-2160.42829680909,76168.8415961466,390197.528401736
4.2,416239.419172316,-2419.27342821204,79664.6267225481,413820.145744104
4.4,438665.230178797,-2690.33846919713,82909.7441097082,435974.8917096
4.6,459418.809884975,-2972.64014990962,85897.6567152844,456446.169735065
4.8,478302.497844889,-3265.06363157128,88629.4962963127,475037.434213318
5,495110.114868178,-3566.35454932827,91107.8302326286,491543.76031885
5.2,509825.611011995,-3876.09373314316,93340.8518853382,505949.517278852
5.4,522372.29342312,-4193.1984740972,95349.0645763791,518179.094949023
5.6,532768.115767873,-4517.40665317882,97139.8388900016,528250.709114694
5.8,541082.388486345,-4848.39031985901,98732.3104061958,536233.998166486
6,547384.94672788,-5185.9170414762,100142.722183083,542199.029686404
