time,S,R,F,T,dose_u1
0,22500,7500,10000,30000,0
0.2,24838.6927735518,8472.46472771696,11530.8223896957,33311.1575012687,0
0.4,27330.4782859696,9557.388893033,13248.314434902,36887.8671790026,0
0.6,29982.9992133585,10774.9643130793,15179.5646544479,40757.9635264378,0
0.8,32792.3890468386,12141.3950651226,17341.1057543319,44933.7841119612,0
1,35749.9381558038,13673.5518754288,19745.4789762281,49423.4900312326,0
1.2,38854.7780425551,15411.5756635649,22429.0126714687,54266.35370612,0
1.4,42066.8205798087,17341.6779905012,25349.2588363546,59408.4985703099,0
1.6,45375.8267267558,19497.2236649242,28519.277247399,64873.0503916799,0
1.8,48761.8168567324,21906.3168436428,31934.7904663525,70668.1337003752,0
2,52200.0520335806,24595.8941205199,35579.7317063875,76795.9461541005,0
2.2,55661.4649923993,27633.0495542172,39448.5352650468,83294.5145466164,0
2.4,59114.5378636278,30990.9839913996,43471.3165370002,90105.5218550274,0
2.6,62533.0123826905,34722.2854836845,47620.408137301,97255.2978663751,0
2.8,65888.5724366579,38871.7994086636,51854.016397274,104760.371845321,0
3,69153.8762511869,43480.6288040808,56123.2786773938,112634.505055268,0
3.2,72286.2580925105,48656.4596098466,60369.3221330322,120942.717702357,0
3.4,75285.8329567513,54348.4112812434,64548.1474075297,129634.244237995,0
3.6,78125.2525757498,60632.9929613597,68612.2117144462,138758.245537109,0
3.8,80781.4106857327,67577.193742091,72518.1922091574,148358.604427824,0
4,83236.1364977479,75237.3498238141,76231.1966234704,158473.486321562,0
4.2,85444.2719591569,83774.785770596,79696.1024574592,169219.057729753,0
4.4,87432.9377730701,93094.0704479232,82939.5996811558,180527.008220993,0
4.6,89174.6430257718,103290.022652684,85939.0523072818,192464.665678455,0
4.8,90643.1237181664,114451.776697029,88682.566265212,205094.900415196,0
5,91817.5848549872,126641.358647874,91171.7752913152,218458.943502861,0
5.2,92630.3603475794,140073.430368547,93385.5921975984,232703.790716127,0
