time,S,R,F,T,dose_u1
0,22500,7500,10000,30000,0
0.2,27499.5420815111,8466.82034496106,11523.5833364997,35966.3624264722,0
0.4,33440.7492626253,9545.58549844031,13239.0603604603,42986.3347610656,0
0.6,40512.0300931279,10751.3535360822,15169.0513283051,51263.3836292102,0
0.8,48894.7763416825,12096.2279363581,17329.0484184281,60991.0042780406,0
1,58794.6825495851,13592.5417910073,19732.0163044459,72387.2243405923,1.5
1.2,69406.521667941,15184.3294455758,22406.2844966924,84590.8511135167,1.5
1.4,81319.8555559214,16910.4384372011,25321.2848824301,98230.2939931224,1.5
1.6,94671.350749543,18782.3356025371,28488.9208218672,113453.68635208,1.5
1.8,109513.539703762,20803.1076911784,31901.9856009602,130316.64739494,1.5
2,125858.907729297,22972.666947526,35544.0047087848,148831.574676823,0
2.2,148391.732854977,25549.5983586585,39404.4938215108,173941.331213635,0
2.4,173756.742939205,28314.6338263866,43422.8242264429,202071.376765592,0
2.6,202240.898325854,31271.6781283298,47570.5608138046,233512.576454183,0
2.8,233931.584362918,34408.2962337861,51802.7267253455,268339.880596704,0
3,268811.986417007,37704.303720737,56070.6684517667,306516.290137744,1.5
3.2,293247.185211984,40571.3863628317,60314.2190109587,333818.571574816,1.5
3.4,317576.070159559,43475.811767225,64481.7390567618,361051.881926784,1.5
3.6,341530.433706255,46396.7987027585,68543.8742842238,387927.232409014,1.5
3.8,364767.214937865,49317.7742568735,72452.348247625,414084.989194739,1.5
4,386964.011105074,52222.0991965618,76168.4975272467,439186.110301635,0
4.2,432959.153636915,56086.6411443211,79626.0699736833,489045.794781236,0
4.4,480179.629295301,59892.3717564114,82856.4236737175,540072.001051712,0
4.6,527977.561469569,63595.4804182184,85860.7204688008,591573.041887788,0
4.8,575788.650852089,67138.687615706,88611.1697644229,642927.338467795,0
5,622952.088799251,70474.9656614311,91107.1798576224,693427.054460682,1.5
5.2,621683.02623692,71999.3462768314,93319.0394562879,693682.372513751,1.5
