time,S,R,F,T
0,10000,30000,10000,40000
0.2,11220.5407845808,33984.2916694584,10910.1870143482,45204.8324540391
0.4,12568.1664093476,38431.3068820125,11892.2897612757,50999.4732913601
0.6,14056.408032165,43397.6995230106,12953.1405987717,57454.1075551756
0.8,15697.9120867306,48939.6929672999,14099.1360493996,64637.6050540305
1,17503.1250939235,55108.0961915308,15335.8041499472,72611.2212854543
1.2,19480.0978690892,61950.342643607,16668.345956925,81430.4405126961
1.4,21639.4680669928,69517.6984595666,18102.354068298,91157.1665265594
1.6,23984.2467010819,77848.2367467938,19642.8201492336,101832.483447876
1.8,26521.6199652965,86987.4193156613,21295.0404938942,113509.039280958
2,29252.4617770702,96965.1774425362,23063.7203578998,126217.639219606
2.2,32172.9155266543,107800.519735554,24953.1434964494,139973.435262208
2.4,35283.8273572854,119521.686903813,26967.9230639868,154805.514261098
2.6,38563.6351563686,132093.324428419,29110.1263532572,170656.959584787
2.8,42012.1727720645,145542.266164389,31384.3245171548,187554.438936453
3,45594.0434933729,159781.441145637,33789.9065013006,205375.48463901
3.2,49296.9571331388,174800.126938016,36329.8112912957,224097.084071155
3.4,53092.1702417036,190526.413013921,39003.416722428,243618.583255625
3.6,56940.533458046,206851.621665175,41808.140858849,263792.155123221
3.8,60808.7474157053,223690.273372886,44742.88640878,284499.020788591
4,64663.3410680774,240937.250658261,47802.0888547573,305600.591726338
4.2,68462.597609932,258466.47024036,50980.6373289713,326929.067850292
4.4,72163.3657206913,276142.7503951,54272.0133364226,348306.116115791
4.6,75742.5088759287,293881.922570206,57666.3468157324,369624.431446134
4.8,79155.3147430231,311533.478619787,61154.0484749098,390688.79336281
5,82371.094261491,328986.840841583,64723.6030349708,411357.935103074
5.2,85377.9499549831,346191.549436176,68362.1801469887,431569.499391159
5.4,88145.4042442316,363028.596072457,72055.3464324313,451174.000316689
5.6,90663.4608723152,379451.912902909,75788.7765565462,470115.373775224
5.8,92928.7569317522,395436.237614412,79547.2491460103,488364.994546164
6,94934.4024850268,410935.532845044,83313.2400216219,505869.935330071
6.2,96681.6795864034,425943.438053592,87072.9120157745,522625.117639995
