time,S,R,F,T
0,22500,7500,10000,30000
0.2,25271.4801290892,8521.48085851402,10909.8677579463,33792.9609876032
0.4,28263.777354626,9669.21506565275,11891.6470744185,37932.9924202787
0.6,31485.8068687224,10961.0785262684,12952.227059001,42446.8853949908
0.8,34940.3851296971,12416.04986874,14098.0166902938,47356.4349984371
1,38622.7556284644,14052.6517608395,15334.2777088071,52675.4073893039
1.2,42523.2628286249,15892.6413790729,16666.6614508789,58415.9042076977
1.4,46631.6077360474,17956.8615419655,18100.4471100363,64588.4692780129
1.6,50925.726391373,20270.7537316887,19640.8433478724,71196.4801230617
1.8,55386.6649790627,22859.0074031023,21292.9807911874,78245.6723821651
2,59981.7657737377,25751.6104616171,23061.6070935834,85733.3762353548
2.2,64681.4050966632,28977.6050921918,24951.2414588254,93659.0101888551
2.4,69443.5132166262,32571.1864087173,26965.7410958821,102014.699625344
2.6,74228.083008297,36566.415158915,29108.5617767782,110794.498167212
2.8,78985.5307107818,41001.7914463681,31382.2658654579,119987.32215715
3,83672.5084862585,45915.6825952194,33788.4173033347,129588.191081478
3.2,88232.4787282574,51352.6791615369,36327.2333729883,139585.157889794
3.4,92607.9338886042,57356.2464930305,38999.7535399248,149964.180381635
3.6,96740.7264305677,63973.3891185325,41805.0409212697,160714.1155491
3.8,100590.35595971,71253.9771569516,44737.2917102558,171844.333116662
4,104087.905514127,79249.6142352634,47794.768564999,183337.519749391
4.2,107170.877079726,88014.4936214695,50973.0447652796,195185.370701196
4.4,109809.912630623,97598.8768471488,54262.868895288,207408.789477772
4.6,111958.430163061,108058.031518706,57655.6130348675,220016.461681766
4.8,113560.052461688,119450.912975787,61142.4691425138,233010.965437475
5,114581.35353443,131829.928199225,64712.1196921644,246411.281733656
5.2,115034.187902615,145228.011578662,68350.7789435045,260262.199481277
5.4,114876.860056899,159705.931492695,72044.7234118987,274582.791549594
5.6,114093.325950809,175314.379439957,75778.2639831879,289407.705390766
5.8,112697.664435533,192031.919537627,79538.4850780047,304729.58397316
6,110692.208001932,209885.189802161,83308.2021697216,320577.397804093
6.2,108085.769936859,228896.57431644,87069.0276238613,336982.344253299
6.4,104907.286561979,249034.570710037,90805.4448614732,353941.857272016
6.6,101209.352585203,270196.945911996,94506.5411480706,371406.298497199
6.8,97028.1550504976,292367.061799366,98152.2469929614,389395.216849864
7,92418.3929226325,315477.62950523,101725.329207186,407896.022427863
7.2,87446.5702639266,339302.921931499,105222.500168787,426749.492195425
7.4,82185.9551736658,363729.67918349,108627.530622334,445915.634357156
7.6,76719.6576179482,388591.706702935,111927.665714147,465311.364320883
7.8,71119.6582637045,413713.906961682,115115.186391448,484833.565225387
