time,S,R,F,T,dose_u1
0,30000,10000,10000,40000,0
0.2,33662.7162539844,11328.4386879022,10910.2073237889,44991.1549418867,0
0.4,37697.8685906392,12807.1576562036,11890.3226237529,50505.0262468428,0
0.6,42161.1796620473,14461.1732206022,12949.6973024297,56622.3528826495,0
0.8,47092.0271527463,16309.7443558366,14094.5683526647,63401.7715085828,0
1,52523.6913806461,18370.4456114174,15330.1788584167,70894.1369920635,1.5
1.2,57575.0266466222,20690.7871335854,16672.6787890426,78265.8137802076,1.5
1.4,62810.6076862749,23249.7786807192,18109.2259485712,86060.3863669941,1.5
1.6,68209.1805845152,26083.274274983,19650.5824573166,94292.4548594982,1.5
1.8,73733.8141642649,29219.9997874543,21303.7393901199,102953.813951719,1.5
2,79338.0390591413,32684.9984187831,23073.4778593383,112023.037477924,0
2.2,87694.0116054897,36537.3689157853,24979.2699284222,124231.380521275,0
2.4,96618.7429349254,40712.967903281,27000.7832241794,137331.710838206,0
2.6,106132.242110927,45236.1443379899,29146.6942735586,151368.386448917,0
2.8,116235.199521436,50123.8203243945,31423.5945409577,166359.019845831,0
3,126896.836947181,55377.457430937,33833.4023261072,182274.294378118,1.5
3.2,131929.072390677,61102.4943533207,36395.2134395008,193031.566743998,1.5
3.4,136534.85343095,67276.7745739159,39080.5562772465,203811.628004865,1.5
3.6,140653.195454723,73940.8456792101,41890.8447134178,214594.041133933,1.5
3.8,144213.227259684,81155.12689452,44829.8059114941,225368.354154204,1.5
4,147173.007823976,88959.8111996696,47893.6164664446,236132.819023646,0
4.2,158701.553465328,97360.5397847873,51096.02883905,256062.093250115,0
4.4,170409.458153822,106126.124422523,54403.4511992761,276535.582576345,0
4.6,182199.368196245,115198.511356484,57802.446188483,297397.879552729,0
4.8,193983.208306174,124565.102716583,61292.9254394189,318548.311022756,0
5,205656.314306589,134178.844746162,64864.4911984158,339835.159052751,0
5.2,217067.466972897,144016.217599126,68514.5536787,361083.684572024,0
5.4,228165.077493278,153981.82262206,72214.0308799232,382146.900115339,0
5.6,238886.975886132,164023.239746292,75947.4346705757,402910.215632424,0
5.8,249120.681985511,174103.922693101,79704.0953145765,423224.604678612,0
6,258794.429939647,184182.253664879,83468.7967699557,442976.683604526,0
6.2,267748.927722465,194214.506736937,87222.821281231,461963.434459403,0
6.4,276080.854607087,204179.839329384,90952.1758039083,480260.693936471,0
6.6,283796.488259795,214058.387378265,94644.7989036797,497854.87563806,0
6.8,290816.773821093,223822.959925633,98283.4083524086,514639.733746726,0
7,297129.810728354,233459.467195958,101853.787441397,530589.277924312,0
7.2,302628.549925341,242940.6717843,105329.098813278,545569.22170964,0
7.4,307482.161656321,252293.605559462,108715.808901436,559775.767215783,0
7.6,311735.609782371,261521.303970956,112009.499648732,573256.913753327,0
7.8,315346.648676952,270611.053013051,115192.522867058,585957.701690003,0
8,318335.160455428,279564.98502774,118256.630963771,597900.145483168,0
8.2,320638.301135614,288369.880788815,121175.659738879,609008.181924429,0
8.4,322418.656725284,297060.664856898,123973.151583288,619479.321582182,0
8.6,323725.438804305,305645.399901569,126652.331508282,629370.838705874,0
8.8,324536.887843822,314117.149892616,129199.390695923,638654.037736438,0
9,324878.426208261,322480.028085658,131612.677641139,647358.454293919,0
9.2,324712.727695444,330724.273101551,133871.859799361,655437.000796996,0
9.4,324166.805232715,338877.44837617,136008.379201454,663044.253608885,0
9.6,323280.974168348,346945.569351625,138029.958059335,670226.543519973,0
9.8,322043.926158869,354922.058740425,139927.510529021,676965.984899294,0
10,320477.690159224,362808.617826713,141703.651270905,683286.307985936,0
10.2,318560.560838973,370594.425152663,143344.591643781,689154.985991637,0
10.4,316383.758981272,378300.735528348,144881.191177794,694684.494509619,0
10.6,313977.395784331,385931.512868664,146322.247719943,699908.908652996,0
10.8,311336.542972384,393479.425772802,147662.383596752,704815.968745185,0
11,308478.718366508,400944.348744863,148905.801741488,709423.067111372,0
11.2,305393.121225263,408314.087222606,150043.821316833,713707.208447869,0
11.4,302141.802679079,415607.315476603,151102.090087316,717749.118155682,0
11.6,298746.230990641,422827.233700141,152088.392789344,721573.464690782,0
11.8,295205.78324409,429966.059052214,152999.712418249,725171.842296304,0
12,291533.968373299,437022.976891874,153840.147872977,728556.945265173,0
12.2,287727.731256863,443985.047729773,154604.408887395,731712.778986636,0
12.4,283826.549279225,450870.409801109,155311.761439891,734696.959080334,0
12.6,279845.004000864,457682.21667426,155968.239246446,737527.220675124,0
12.8,275785.313353725,464412.563901229,156572.175188064,740197.877254954,0
13,271657.51396981,471060.514652037,157126.838924045,742718.028621847,0
13.2,267464.05911754,477612.823490566,157629.111075445,745076.882608106,0
13.4,263227.354887475,484087.71113495,158092.530862964,747315.066022425,0
13.6,258956.676509179,490488.484569516,158521.425091192,749445.161078695,0
13.8,254656.018622733,496807.259188292,158914.863855739,751463.277811025,0
14,250332.736583812,503043.139799437,159275.239629347,753375.876383249,0
14.2,245992.67042835,509182.771129034,159600.665530354,755175.441557384,0
14.4,241645.923945229,515244.52376062,159900.307665741,756890.44770585,0
14.6,237297.826804307,521231.863515946,160177.12484039,758529.690320253,0
14.8,232953.42445828,527136.976660727,160430.587027874,760090.401119007,0
