time,S,R,F,T,dose_u1
0,22500,7500,10000,30000,0
0.2,25317.015582978,8521.37695981317,10909.8957942929,33838.3925427912,0
0.4,28438.018184204,9664.85775217072,11889.8148257068,38102.8759363747,0
0.6,31912.8362484667,10952.4330286396,12949.1340505606,42865.2692771062,0
0.8,35778.3421061709,12401.5342591184,14093.8711198325,48179.8763652893,0
1,40070.3187382084,14029.9873590537,15329.4188981518,54100.3060972622,1.5
1.2,44127.4172259981,15879.4511996685,16671.1491190286,60006.8684256666,1.5
1.4,48377.4147803212,17936.4468078127,18107.0622522902,66313.8615881339,1.5
1.6,52814.6231852395,20236.3188667536,19648.240298886,73050.9420519931,1.5
1.8,57417.8479129268,22807.5038009351,21301.227491752,80225.3517138619,1.5
2,62157.5735042306,25677.1208413374,23070.789306447,87834.694345568,0
2.2,69160.3080346739,28906.1549164998,24974.9649014211,98066.4629511738,0
2.4,76733.1115355624,32449.390219942,26994.6700192316,109182.501755504,0
2.6,84925.889773388,36344.6494490071,29140.1229563586,121270.539222395,0
2.8,93760.1148507438,40617.2846479989,31416.6367479384,134377.399498743,0
3,103234.298975135,45282.5620980785,33826.0862442617,148516.861073213,1.5
3.2,108293.222670066,50439.5577010508,36385.3668660063,158732.780371116,1.5
3.4,113087.038132311,56061.1059386685,39067.5353050138,169148.14407098,1.5
3.6,117548.512484564,62205.645804261,41877.0714058679,179754.158288825,1.5
3.8,121612.2661511,68932.1231504003,44815.4430461016,190544.3893015,1.5
4,125226.287315393,76285.6543840349,47878.6852716257,201511.941699427,0
4.2,136291.898631697,84314.2748185212,51077.8683604859,220606.173450218,0
4.4,147714.750375377,92811.6492668027,54380.3140673125,240526.39964218,0
4.6,159414.659538531,101749.236578713,57777.9796950578,261163.896117244,0
4.8,171317.465676645,111120.917355657,61267.842603548,282438.383032302,0
5,183318.072814464,120882.891034166,64839.0190657568,304200.96384863,1.5
5.2,181330.859256057,131332.996417564,68487.548871799,312663.85567362,1.5
5.4,178718.083118727,142582.536255009,72185.1503462321,321300.619373736,1.5
5.6,175504.743947635,154674.860817538,75918.0535432078,330179.604765174,1.5
5.8,171668.063187949,167726.78608746,79674.5910840921,339394.849275409,1.5
6,167233.029307124,181796.077323421,83439.1997386405,349029.106630545,0
6.2,177157.3940662,196612.073354941,87193.3714913586,373769.467421141,0
6.4,186732.026380085,211615.846672563,90922.9894356044,398347.873052647,0
6.6,195884.180319582,226695.380131692,94615.9825298699,422579.560451274,0
6.8,204485.107643937,241756.175181677,98255.0739891391,446241.282825614,0
7,212453.298217404,256698.029353854,101826.170446426,469151.327571259,1.5
