Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,7500,7500,7500,22500,22500,22500
1,24904.56178,22344.45161,29064.99286,43815.85552,53509.87653,64742.50853
2,80307.59455,68904.01736,306120.5898,84778.97413,98153.75758,122609.9055
3,167611.4955,111671.1518,142672.2371,157254.762,176284.956,212883.6357
4,374252.8332,243561.5349,347944.3098,257986.1171,293496.5467,362724.0979
5,526608.14,317344.0435,458124.8974,392664.2592,451973.1305,542644.6551
6,642453.525,543804.5236,790227.9041,372824.6743,447932.1907,491442.4169
7,701828.9735,618381.4041,803094.2673,522894.5931,632480.8533,629383.7103
8,1043757.452,935301.822,1071153.6,311429.7294,359339.7169,328148.1131
9,982673.3513,902758.3362,1033470.807,270671.0705,350795.9689,302939.5213
10,1174633.741,1255067.954,1191271.189,150602.7449,264241.4177,152450.6703
11,1180537.069,1178400.654,1201943.356,113631.2329,250457.1237,164329.5704
12,1247940.857,1212817.862,1203073.847,93920.69999,189138.6296,132791.8695
13,1168046.459,1128804.647,1170989.448,92616.23907,162013.8663,122640.3259
14,1265017.124,1243806.988,1279047.527,75719.08779,97428.32697,83479.3457
