Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,10000,10000,10000,30000,30000,30000
1,21724.28858,18140.56066,17983.31116,77711.62092,70701.45369,57640.94542
2,37704.15005,34833.8432,35778.88509,132084.589,124775.0395,105822.7891
3,46045.80454,47015.93673,46378.64703,193802.5419,185428.4636,175510.3052
4,71599.1897,74273.87826,67545.21911,253236.4562,245926.3005,241552.2966
5,70715.96421,70285.55703,63589.59545,337044.2965,330064.4214,317026.4612
6,121483.4386,118716.2503,99525.00646,380127.138,370245.9012,383375.9896
7,96141.19915,90468.77709,73219.51854,492189.5112,484981.8678,503664.0504
8,170550.2482,161674.4226,140123.263,462034.6667,465443.9945,489390.74
9,108513.8655,104136.498,92967.1882,549081.5219,541073.101,574798.1211
10,206534.6469,187970.6997,187999.9749,512245.813,513263.7987,544334.7227
11,143695.492,135775.4054,117505.5407,545445.6187,533701.7156,584895.9402
12,260410.17,233562.0432,233227.4407,513996.7561,509108.7237,555817.6514
13,127425.4005,121878.9384,117965.8294,555524.6249,537597.8305,605644.3471
14,183079.2059,181244.2112,167892.6711,399304.0669,408728.3004,465665.8178
