Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,7500,7500,7500,22500,22500,22500
1,28864.25308,25403.00415,25227.33077,69531.99843,56966.1539,43763.77581
2,105317.5673,78560.3171,91965.38187,99341.78665,97615.47319,69922.24853
3,188881.0819,152164.9621,170345.5407,113933.1769,109628.814,84832.37494
4,444720.528,346420.2311,398398.5541,144393.5442,117334.5586,87113.93868
5,544477.8397,472183.3921,511056.8214,116809.5548,93099.45387,74944.39355
6,709501.3426,636550.8924,696656.8473,59333.55527,56183.84586,42601.29987
7,937757.9118,815637.3052,753319.6665,68953.4896,40685.75422,38118.55176
8,1000109.726,858491.0074,931003.265,28007.23258,38414.89847,20298.39382
9,974722.7487,991912.3876,887964.4678,30649.25181,34567.50185,28377.38783
10,1120389.603,1060813.207,1046980.448,21275.42709,18438.61308,12304.47258
11,1040507.79,1114315.713,1143064.785,22301.51541,24320.76849,21650.69297
12,1200051.59,1188640.121,1079639.949,22749.51209,23513.22023,12649.7005
13,1123889.512,1170227.27,1076580.145,38834.14354,35977.79096,18372.38356
14,1290230.826,1284158.952,1166517.165,63437.00462,33723.10146,21340.5441
