Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,20000,20000,20000,20000,20000,20000
1,28704.73075,24318.44568,26511.58821,21729.86203,18681.79148,20205.82675
2,44594.26322,43057.2819,34562.4651,32132.24564,28112.83043,22206.3235
3,48356.6153,40962.9752,40541.66155,39599.04459,35873.92707,25360.77848
4,81179.26464,81513.47604,63281.04147,64347.565,54158.61517,43634.63258
5,95026.29417,95273.77487,83287.49519,82144.35139,72869.2908,53795.36316
6,144898.125,137409.1887,121956.3409,148945.2706,115586.9052,88676.31667
7,153864.8467,142195.9799,132991.3012,198335.262,156707.0517,112108.5644
8,178744.2943,173557.0166,182199.696,274385.3106,193192.9435,168734.8682
9,143318.1206,127446.2862,148220.331,377892.4586,278942.8472,231287.2545
10,183375.2636,163658.8248,185506.5702,417897.2308,343954.5327,312259.3237
11,150133.354,158454.4551,128737.2535,526892.6032,483618.3088,389181.9789
12,175177.4041,191844.4621,187670.4765,406806.8097,411948.7176,390786.2132
13,209631.2358,199672.1468,159072.1302,626809.8241,579891.9409,563242.3268
14,190112.8794,267364.5049,265767.1935,542240.1031,573062.4512,554567.4779
